år,region,inkomst,arbetslösa,befolkning,arbetslöshet
2002,1498 Tidaholm,127.8,318,12585,2.52681764
2002,1499 Falköping,129.6,735,30896,2.378948731
2002,1715 Kil,133.3,289,11892,2.43020518
2002,1730 Eda,122.4,141,8670,1.626297578
2002,1737 Torsby,125.1,274,13404,2.044165921
2002,1760 Storfors,133.7,105,4605,2.280130293
2002,1761 Hammarö,158.2,201,14237,1.411814287
2002,1762 Munkfors,133.5,139,4086,3.40186001
2002,1763 Forshaga,132.7,269,11474,2.344430887
2002,1764 Grums,139.6,241,9312,2.588058419
2002,1765 Årjäng,116.5,183,9743,1.87827158
2002,1766 Sunne,125.7,353,13573,2.600751492
2002,1780 Karlstad,147.6,1923,80934,2.376010082
2002,1781 Kristinehamn,139.9,473,23963,1.973876393
2002,1782 Filipstad,134.3,295,11178,2.639112542
2002,1783 Hagfors,137.2,329,13797,2.384576357
2002,1784 Arvika,131.2,510,26262,1.941969385
2002,1785 Säffle,131.7,307,16289,1.884707471
2002,1814 Lekeberg,132.7,158,7027,2.248470186
2002,1860 Laxå,133.7,160,6471,2.472569927
2002,1861 Hallsberg,137.1,306,15651,1.955146636
2002,1862 Degerfors,142.7,229,10306,2.222006598
2002,1863 Hällefors,133.1,226,7794,2.89966641
2002,1864 Ljusnarsberg,132.1,145,5482,2.645020066
2002,1880 Örebro,141.6,3158,125520,2.515933716
2002,1881 Kumla,142.3,340,19105,1.779638838
2002,1882 Askersund,136.3,241,11449,2.104987335
2002,1883 Karlskoga,152.3,771,30600,2.519607843
2002,1884 Nora,139.5,261,10515,2.482168331
2002,1885 Lindesberg,138,549,23492,2.336965776
2002,1904 Skinnskatteberg,136.2,54,4785,1.128526646
2002,1907 Surahammar,146.2,122,10207,1.195258156
2002,1960 Kungsör,141.2,162,8222,1.970323522
2002,1961 Hallstahammar,139.1,257,14986,1.714933938
2002,1962 Norberg,138.8,91,5876,1.548672566
2002,1980 Västerås,154,3049,128902,2.365362834
2002,1981 Sala,131.6,322,21663,1.486405392
2002,1982 Fagersta,152.3,220,12325,1.784989858
2002,1983 Köping,139.4,524,24647,2.126019394
2002,1984 Arboga,139.7,330,13574,2.431118314
2002,2021 Vansbro,125.7,217,7235,2.999308915
2002,2023 Malung-Sälen,130.4,210,10593,1.982441235
2002,2026 Gagnef,131.7,225,10008,2.248201439
2002,2029 Leksand,135.7,245,15301,1.601202536
2002,2031 Rättvik,128.3,333,10898,3.055606533
2002,2034 Orsa,123.6,211,7015,3.007840342
2002,2039 Älvdalen,125.7,263,7617,3.452802941
2002,2061 Smedjebacken,143.5,318,11157,2.850228556
2002,2062 Mora,137.5,514,20024,2.566919696
2002,2080 Falun,146.4,1205,54841,2.197261173
2002,2081 Borlänge,142.3,1239,47049,2.633424727
2002,2082 Säter,133.8,187,11043,1.693380422
2002,2083 Hedemora,134.8,352,15584,2.258726899
2002,2084 Avesta,146,517,22296,2.318801579
2002,2085 Ludvika,144.7,696,25975,2.679499519
2002,2101 Ockelbo,131.3,167,6101,2.737256188
2002,2104 Hofors,145.1,205,10372,1.976475125
2002,2121 Ovanåker,127.1,327,12193,2.681866645
2002,2132 Nordanstig,127.5,291,10021,2.903901806
2002,2161 Ljusdal,129.2,476,19776,2.406957929
2002,2180 Gävle,149,3110,91276,3.407248346
2002,2181 Sandviken,150,1086,36765,2.953896369
2002,2182 Söderhamn,139.6,918,27250,3.368807339
2002,2183 Bollnäs,133.6,776,26210,2.960702022
2002,2184 Hudiksvall,137.9,1385,37048,3.738393436
2002,2260 Ånge,133,277,10948,2.530142492
2002,2262 Timrå,147.3,458,17784,2.575348628
2002,2280 Härnösand,142.9,569,25193,2.258563887
2002,2281 Sundsvall,156.9,2454,93252,2.631578947
2002,2282 Kramfors,133.5,563,20711,2.718362223
