år,region,inkomst
2010,2023 Malung-Sälen,165.8
2010,2026 Gagnef,171.2
2010,2029 Leksand,178.6
2010,2031 Rättvik,169.8
2010,2034 Orsa,156.3
2010,2039 Älvdalen,159.9
2010,2061 Smedjebacken,184
2010,2062 Mora,175.2
2010,2080 Falun,186.5
2010,2081 Borlänge,173.9
2010,2082 Säter,176.7
2010,2083 Hedemora,171.7
2010,2084 Avesta,183.3
2010,2085 Ludvika,182.1
2010,2101 Ockelbo,171.6
2010,2104 Hofors,178.3
2010,2121 Ovanåker,166.2
2010,2132 Nordanstig,160.9
2010,2161 Ljusdal,162
2010,2180 Gävle,189
2010,2181 Sandviken,184.3
2010,2182 Söderhamn,171.6
2010,2183 Bollnäs,168.2
2010,2184 Hudiksvall,175.5
2010,2260 Ånge,168.4
2010,2262 Timrå,177
2010,2280 Härnösand,177.7
2010,2281 Sundsvall,190.6
2010,2282 Kramfors,170.6
2010,2283 Sollefteå,166.6
2010,2284 Örnsköldsvik,185.9
2010,2303 Ragunda,161.9
2010,2305 Bräcke,157
2010,2309 Krokom,164
2010,2313 Strömsund,160.1
2010,2321 Åre,160.1
2010,2326 Berg,153.2
2010,2361 Härjedalen,162.8
2010,2380 Östersund,181.1
2010,2401 Nordmaling,171.6
2010,2403 Bjurholm,149.6
2010,2404 Vindeln,164.1
2010,2409 Robertsfors,166.5
2010,2417 Norsjö,165.4
2010,2418 Malå,177.3
2010,2421 Storuman,166.8
2010,2422 Sorsele,155.9
2010,2425 Dorotea,165.1
2010,2460 Vännäs,172.8
2010,2462 Vilhelmina,151.7
2010,2463 Åsele,156.5
2010,2480 Umeå,184.4
2010,2481 Lycksele,175.3
2010,2482 Skellefteå,181.5
2010,2505 Arvidsjaur,178.7
2010,2506 Arjeplog,172.5
2010,2510 Jokkmokk,174.4
2010,2513 Överkalix,167.2
2010,2514 Kalix,177.5
2010,2518 Övertorneå,154.1
2010,2521 Pajala,165.6
2010,2523 Gällivare,206.8
2010,2560 Älvsbyn,168.7
2010,2580 Luleå,190.4
2010,2581 Piteå,187.3
2010,2582 Boden,182.1
2010,2583 Haparanda,152.9
2010,2584 Kiruna,206.1
